Time,Temperature  (*C),Temperature  (*F),A-D  (1-255)
10/5/95 11:01,52.3,126.2,127
10/5/95 11:02,52.3,126.2,127
10/5/95 11:02,52.3,126.2,127
10/5/95 11:03,52.3,126.2,127
10/5/95 11:04,52.3,126.2,127
10/5/95 11:04,52.3,126.2,127
10/5/95 11:05,52.3,126.2,127
10/5/95 11:06,52.3,126.2,127
10/5/95 11:06,52.3,126.2,127
10/5/95 11:07,52.3,126.2,127
10/5/95 11:08,52.3,126.2,127
10/5/95 11:08,52.3,126.2,127
10/5/95 11:09,52.3,126.2,127
10/5/95 11:10,52.3,126.2,127
10/5/95 11:10,52.3,126.2,127
10/5/95 11:11,52.3,126.2,127
10/5/95 11:12,52.3,126.2,127
10/5/95 11:12,52.3,126.2,127
10/5/95 11:13,52.3,126.2,127
10/5/95 11:14,52.3,126.2,127
10/5/95 11:14,52.3,126.2,127
10/5/95 11:15,52.3,126.2,127
10/5/95 11:16,52.3,126.2,127
10/5/95 11:16,52.3,126.2,127
10/5/95 11:17,52.3,126.2,127
10/5/95 11:18,52.3,126.2,127
10/5/95 11:18,52.3,126.2,127
10/5/95 11:19,52.3,126.2,127
10/5/95 11:20,52.3,126.2,127
10/5/95 11:20,52.3,126.2,127
10/5/95 11:21,52.3,126.2,127
10/5/95 11:22,52.3,126.2,127
10/5/95 11:22,52.3,126.2,127
10/5/95 11:23,52.3,126.2,127
10/5/95 11:24,52.3,126.2,127
10/5/95 11:24,52.3,126.2,127
10/5/95 11:25,52.3,126.2,127
10/5/95 11:26,52.3,126.2,127
10/5/95 11:26,52.3,126.2,127
10/5/95 11:27,52.3,126.2,127
10/5/95 11:28,52.3,126.2,127
10/5/95 11:28,52.3,126.2,127
10/5/95 11:29,52.3,126.2,127
10/5/95 11:30,52.3,126.2,127
10/5/95 11:30,52.3,126.2,127
10/5/95 11:31,52.3,126.2,127
10/5/95 11:32,52.3,126.2,127
10/5/95 11:32,52.3,126.2,127
10/5/95 11:33,52.3,126.2,127
10/5/95 11:34,52.3,126.2,127
10/5/95 11:34,52.3,126.2,127
10/5/95 11:35,52.3,126.2,127
10/5/95 11:36,52.3,126.2,127
