Gassy Well w/separator  August 1996
5x5i03.csv,  Start Time = 0 sec, Duration = 59 sec
08/04/96
0:00:00 AM
time(sec),     Pressure(psi)
 19.32 ,       441.4 
 19.34 ,       453.5 
 19.36 ,       444.5 
 19.38 ,       450.5 
 19.4 ,        444.5 
 19.42 ,       444.5 
 19.44 ,       444.5 
 19.46 ,       447.5 
 19.48 ,       444.5 
 19.5 ,        453.5 
 19.52 ,       444.5 
 19.54 ,       447.5 
 19.56 ,       444.5 
 19.58 ,       444.5 
 19.6 ,        453.5 
 19.62 ,       447.5 
 19.64 ,       444.5 
 19.66 ,       450.5 
 19.68 ,       444.5 
 19.7 ,        447.5 
 19.72 ,       447.5 
 19.74 ,       444.5 
 19.76 ,       447.5 
 19.78 ,       447.5 
 19.8 ,        444.5 
 19.82 ,       447.5 
 19.84 ,       447.5 
 19.86 ,       450.5 
 19.88 ,       447.5 
 19.9 ,        444.5 
 19.92 ,       447.5 
 19.94 ,       444.5 
 19.96 ,       444.5 
 19.98 ,       444.5 
 20 ,          447.5 
 20.02 ,       444.5 
 20.04 ,       444.5 
 20.06 ,       447.5 
 20.08 ,       441.4 
 20.1 ,        450.5 
 20.12 ,       441.4 
 20.14 ,       450.5 
 20.16 ,       444.5 
 20.18 ,       447.5 
 20.2 ,        444.5 
 20.22 ,       447.5 
 20.24 ,       447.5 
 20.26 ,       453.5 
 20.28 ,       447.5 
 20.3 ,        444.5 
 20.32 ,       450.5 
 20.34 ,       444.5 
 20.36 ,       450.5 
 20.38 ,       444.5 
 20.4 ,        441.4 
 20.42 ,       450.5 
 20.44 ,       447.5 
 20.46 ,       441.4 
 20.48 ,       444.5 
 20.5 ,        450.5 
 20.52 ,       441.4 
 20.54 ,       444.5 
 20.56 ,       444.5 
 20.58 ,       444.5 
 20.6 ,        453.5 
 20.62 ,       444.5 
 20.64 ,       453.5 
 20.66 ,       444.5 
 20.68 ,       444.5 
 20.7 ,        447.5 
 20.72 ,       444.5 
 20.74 ,       453.5 
 20.76 ,       444.5 
 20.78 ,       447.5 
